"idx","lambda","r2","max_rec_err","keep","slope_ratio","s1","s2","s3","s4"
1,100,0.999289538432108,4.9514048133741,0.926159780023367,0.883798460338393,72.8865347875464,72.1129090530244,68.0038259295975,74.9139630521116
2,300,0.999621750493011,4.72792739230934,0.964928594590655,0.914000401978032,89.6040739695686,81.1805675148201,76.2209053029562,85.3494135562085
3,1000,0.999299541022433,4.33400919429384,0.988182225042028,0.973462188904081,84.9345589149065,81.465016347558,83.5704094220256,83.286542499217
4,3000,0.999351557329946,4.46715038714025,0.994959555656285,0.982437058858246,90.8668523829371,81.56066659138,84.0178720410876,86.1353274118464
5,10000,0.999351449508743,4.87558131620393,0.997440896686666,0.989737735651944,91.0148034059393,83.0154036170011,85.8013737693121,86.068221672968
6,30000,0.999339858227015,4.39798055801175,0.999514566825743,0.99888537475418,92.3508194015075,82.6711548170405,85.8765328595149,86.7842362813803
7,1e+05,0.999388798676226,2.92869752925228,1.00212561069347,0.995901648759765,92.3750401324887,83.2864169690157,85.8629498122226,87.1442221676301
8,3e+05,0.999366066229824,2.96286320215604,1.00304942271926,0.999054517333499,92.6609631821692,83.4783885650292,86.1409824331386,87.0730684788793
9,1e+06,0.999372259337325,2.99231017457622,1.0035805335712,1.00031657850575,92.660075162252,84.327262818129,86.2594901427636,87.2259937382088
10,1e+07,0.999453441146416,3.00847117768613,1.00466669677335,1.00128682062229,92.6686389230066,84.465413341004,92.1086454195573,87.1465790567691
11,1e+08,0.999471509731922,3.05502225590824,1.00498849591986,1.00149493495994,92.7620129368293,85.0136683424978,93.1930039160366,87.1492517908688
