"key","value"
"reference","std-100"
"ref_apex_min","4.6583"
"win_lo_min","4.2500"
"win_hi_min","5.1167"
"slack","45"
"cluster_gap","5"
"de_np","90"
"de_itermax","200"
"alignDE_version","3.0.0"
