"time_min","std-0_bc","std-0_aligned","std-25_bc","std-25_aligned","std-50_bc","std-50_aligned","std-100_bc","std-100_aligned","std-150_bc","std-150_aligned","std-200_bc","std-200_aligned","sample-1_bc","sample-1_aligned","sample-2_bc","sample-2_aligned","sample-3_bc","sample-3_aligned","sample-4_bc","sample-4_aligned"
2.75,359.79,652.35,-12.15,-9.32,20.17,23.85,93.59,93.59,-25.03,-27.12,-30.28,-32.29,24.3,-106.58,-25.8,-38.9,-16.97,40.65,23.32,-73.04
2.75833,378.18,658.76,-12.82,-10.65,14.5,18.14,102.95,102.95,-25.54,-29.14,-33.49,-35.71,40,-107.39,-4.89,-24.18,-10.32,52,40.66,-69.61
2.76667,397.58,664.17,-13.62,-12.43,9.92,12.88,107.61,107.61,-27.31,-31.45,-37.03,-38.85,56.99,-105.11,18.98,-6.57,-3.77,63.28,57.31,-65.69
2.775,416.98,668.58,-13.54,-13.16,5.41,8.33,109.58,109.58,-29.35,-31.34,-39.93,-41.38,75.31,-101.27,45.01,13.29,2.74,74.48,74.33,-61.6
2.78333,436.39,672.99,-12.59,-13.58,1.94,4.19,108.85,108.85,-31.68,-32.16,-42.22,-43.29,92.02,-97.02,71.38,34.71,10.29,84.94,92.75,-57.47
2.79167,456.8,675.4,-11.77,-13.14,-1.51,0.73,104.43,104.43,-31.31,-29.69,-43.92,-43.99,108.14,-91.09,95.17,56.78,20.94,94.45,109.64,-52.07
2.8,474.21,676.81,-11.06,-12.24,-4.98,-2.72,96.31,96.31,-32.24,-24.37,-44.03,-43.1,119.72,-82.77,118.42,78.25,31.79,104.16,126.02,-46.07
2.80833,491.62,677.22,-10.46,-11.46,-6.48,-5.5,84.49,84.49,-29.46,-12.49,-42.56,-38.03,128.77,-73.8,139.16,98.21,44.9,111.74,140.94,-38.63
2.81667,511.03,678.63,-9.97,-10.8,-9.05,-7.36,71.94,71.94,-23.95,3.56,-35.47,-27.91,132.34,-64.3,157.43,117.8,57.31,116.38,154.42,-32.7
2.825,530.44,679.04,-7.57,-10.25,-9.69,-9.27,57.65,57.65,-11.62,25.6,-23.68,-11.72,133.44,-55.49,171.22,135.34,70.07,119.74,168.51,-26.67
2.83333,542.85,676.45,-7.24,-8.91,-8.43,-9.26,44.6,44.6,4.62,52.02,-5.08,12.07,132.1,-47.64,178.56,151.18,82.2,121.97,179.22,-21.89
2.84167,555.26,672.86,-6,-7.42,-8.24,-8.36,31.77,31.77,26.92,80.9,21.51,43.37,129.35,-40.34,182.46,164.32,92.74,123.61,187.59,-16.37
2.85,566.67,667.27,-6.81,-6.69,-8.14,-8.21,20.14,20.14,53.44,113.16,55.3,80.07,124.2,-35.41,178.91,173.73,103.72,125.38,194.64,-11.78
2.85833,577.08,661.67,-6.7,-6.36,-8.11,-8.13,9.66,9.66,82.28,143.11,93.47,119.93,119.68,-32.15,170.91,179.28,112.18,128.29,198.37,-9.35
2.86667,589.49,656.08,-7.66,-6.76,-7.17,-7.8,1.27,1.27,114.52,168.57,134.13,160.38,114.81,-29.41,160.45,182.36,117.15,133.32,199.81,-8.29
2.875,600.9,648.49,-7.69,-7.14,-5.28,-6.54,-6.11,-6.11,144.19,188.5,174.35,198.46,109.61,-28,145.5,179.37,120.65,140.48,198.95,-8.58
2.88333,611.31,637.9,-8.8,-7.67,-3.45,-4.68,-12.53,-12.53,169.34,199.95,211.18,231.2,106.1,-27.35,127.04,173.22,122.72,149.79,195.8,-10.24
2.89167,620.71,626.31,-8.99,-8.2,-0.65,-2.54,-17.07,-17.07,188.99,203.83,241.67,254.96,105.31,-29.01,106.06,165.12,124.39,161.53,189.34,-16.16
2.9,630.12,613.72,-10.28,-8.89,-0.87,-0.72,-18.75,-18.75,200.17,198.2,261.85,268.39,111.27,-31.78,85.5,154.53,126.69,176.31,181.58,-22.95
2.90833,637.53,602.13,-10.67,-9.59,-2.11,-1.27,-19.61,-19.61,203.88,185.99,271.75,271.5,124.01,-34.93,64.34,141.1,131.64,192.7,170.48,-29.84
2.91667,644.94,590.54,-11.16,-10.46,-2.37,-2.19,-19.65,-19.65,198.15,168.23,271.38,262.98,142.59,-38.46,43.53,125.36,139.28,209.93,160.03,-36.49
2.925,652.35,577.95,-10.76,-10.9,-1.64,-2.13,-17.88,-17.88,185.96,146.96,258.73,244.14,167.02,-42.43,25.02,107.68,149.63,227.84,147.21,-43.96
2.93333,658.76,565.36,-11.46,-10.97,-0.93,-1.41,-17.28,-17.28,168.31,124.18,236.82,218.64,198.37,-45.63,5.71,90.33,162.73,244.89,132.98,-50.16
2.94167,664.17,552.77,-12.29,-11.09,-0.23,-0.71,-16.85,-16.85,147.17,100.87,209.6,189.14,234.67,-47.75,-10.55,72.65,179.61,259.18,119.32,-54.47
2.95,668.58,539.18,-14.24,-11.86,-0.53,-0.32,-14.58,-14.58,124.53,78.03,179.05,158.96,269.97,-49.27,-23.9,54.99,198.3,270.03,106.19,-55.34
2.95833,672.99,523.59,-15.33,-13.24,-0.85,-0.63,-11.45,-11.45,101.35,56.66,149.15,128.05,304.31,-51.03,-35.47,38.13,217.81,276.69,93.56,-51.9
2.96667,675.4,507,-16.58,-14.77,-1.17,-0.94,-8.43,-8.43,78.6,38.6,117.83,97.72,333.73,-51.57,-45.37,22.43,238.19,277.53,81.4,-45.04
2.975,676.81,489.41,-17.99,-15.94,-1.5,-1.27,-5.49,-5.49,57.24,21.93,88.07,69.59,354.26,-52.33,-52.7,6.17,255.44,271.32,68.66,-34.93
2.98333,677.22,471.82,-18.57,-17.27,-1.85,-1.61,-2.61,-2.61,39.23,8.5,60.79,45.96,365.9,-50.56,-59.55,-7.6,268.58,258.66,56.31,-22.18
2.99167,678.63,454.23,-19.33,-18.27,-2.22,-1.96,-0.76,-0.76,22.52,-1.85,38.96,27.04,366.67,-47.83,-65.97,-19.37,276.62,239.54,45.32,-5.5
3,679.04,437.63,-21.29,-18.95,-2.61,-2.34,1.07,1.07,9.02,-10.18,21.46,11.71,355.56,-41.72,-69.03,-29.72,277.55,215.05,33.65,14.12
3.00833,676.45,422.04,-20.45,-20.32,-4.03,-3.03,2.92,2.92,-1.38,-16.58,7.18,-1.86,334.54,-35.61,-71.77,-38.88,270.37,185.62,21.25,34.42
3.01667,672.86,405.45,-20.82,-20.87,-5.49,-4.47,3.79,3.79,-9.79,-21.18,-6.02,-13.74,303.59,-27.92,-76.22,-46.74,255.05,152.26,11.05,53.32
3.025,667.27,388.86,-20.38,-20.64,-6.01,-5.64,4.68,4.68,-16.27,-24.89,-17.26,-23.04,265.65,-19.02,-79.42,-52.9,231.57,116.27,-0.06,72.28
3.03333,661.67,372.27,-20.15,-20.59,-6.58,-6.17,4.6,4.6,-20.9,-26.98,-25.66,-29.54,223.67,-8.04,-83.4,-58.67,201.88,78.43,-10.16,92.75
3.04167,656.08,355.68,-20.12,-20.26,-7.21,-6.76,4.54,4.54,-24.73,-29.15,-31.28,-33.99,181.58,4.12,-84.19,-64.13,165.94,42.55,-18.34,111.61
3.05,648.49,339.09,-20.29,-20.13,-7.92,-7.42,4.51,4.51,-26.78,-29.58,-35.2,-37.46,139.33,18.04,-84.81,-67.67,126.7,7.8,-24.7,129.6
3.05833,637.9,322.5,-19.65,-20.21,-7.7,-7.85,4.5,4.5,-29.1,-28.48,-38.45,-40.28,99.82,34.27,-83.25,-70.12,84.08,-24.43,-31.3,145.79
3.06667,626.31,305.91,-18.2,-19.95,-6.54,-7.37,3.51,3.51,-29.69,-27.44,-41.08,-41.79,63.98,51.93,-80.5,-72.84,43.97,-54.49,-36.19,161.18
3.075,613.72,289.32,-16.94,-18.89,-5.45,-6.23,2.54,2.54,-28.56,-24.87,-42.1,-41.69,32.67,71.09,-75.52,-76.48,5.19,-80.73,-41.44,174.94
3.08333,602.13,271.73,-16.84,-17.54,-4.42,-5.16,1.58,1.58,-27.71,-22.54,-41.52,-40.7,3.66,89.3,-69.29,-79.18,-30.55,-101.78,-46.1,185.25
3.09167,590.54,254.14,-14.91,-16.89,-3.43,-4.14,-0.36,-0.36,-25.13,-20.19,-40.35,-38.38,-23.32,106.61,-61.72,-82.48,-63.58,-117.65,-50.22,193.51
3.1,577.95,238.55,-15.14,-15.82,-1.46,-2.88,-0.3,-0.3,-22.79,-16.27,-37.56,-34.43,-47.5,119.4,-52.76,-83.88,-91.2,-128.55,-55.83,198.22
3.10833,565.36,222.96,-15.51,-15.03,1.49,-0.65,-0.24,-0.24,-20.68,-12.37,-33.13,-30.22,-67.12,128.91,-42.31,-84.47,-111.66,-134.06,-61,199.74
3.11667,552.77,206.37,-16.04,-15.34,3.44,2.02,-0.19,-0.19,-16.76,-7.58,-29.02,-25.6,-84.37,132.45,-32.28,-84.35,-126.17,-134.14,-65.76,198.32
3.125,539.18,189.78,-14.73,-15.8,3.41,3.43,-0.13,-0.13,-13,-1.85,-24.2,-19.5,-97.43,133.2,-23.57,-82.87,-133.87,-128.06,-70.17,193.73
3.13333,523.59,175.19,-13.55,-15.33,5.39,3.94,-0.07,-0.07,-8.37,4.57,-17.6,-12.3,-108.44,131.44,-14.11,-80.55,-134.82,-115.02,-71.25,185.93
3.14167,507,160.59,-12.51,-14.08,6.39,5.66,0.98,0.98,-2.81,10.17,-10.17,-4.93,-118.49,127.76,-8.81,-76.41,-128.04,-98.07,-71.03,175.36
3.15,489.41,147,-11.6,-12.98,7.41,6.66,2.04,2.04,3.72,15.67,-2.84,2.39,-126.7,122.5,-6.63,-71.38,-113.46,-77.77,-69.5,163.38
3.15833,471.82,134.41,-10.8,-12,6.45,7.16,1.11,1.11,9.28,20.42,4.46,11.17,-130.13,117.52,-6.53,-65.46,-93.95,-54.68,-68.65,149.78
3.16667,454.23,126.82,-11.11,-11.15,6.51,6.46,0.18,0.18,14.9,25.08,13.79,19.86,-132.84,112.15,-9.53,-58.6,-70.33,-30.26,-67.49,134.12
3.175,437.63,116.23,-11.54,-10.97,7.59,6.79,-0.75,-0.75,19.6,28.82,22.21,27.65,-132.83,107.57,-13.64,-50.77,-43.39,-5.67,-65.99,118.8
3.18333,422.04,105.64,-12.08,-11.35,8.69,7.87,-1.68,-1.68,24.4,31.47,29.74,34.56,-131.12,105.59,-20.9,-41.98,-15.87,18.58,-65.15,104.17
3.19167,405.45,95.05,-12.75,-11.85,6.81,8.2,-3.64,-3.64,28.28,32.18,36.39,39.13,-126.69,109.57,-29.37,-33.53,11.48,41.95,-63.95,90.16
3.2,388.86,83.46,-12.54,-12.46,5.94,6.59,-4.63,-4.63,31.27,30.97,40.16,42.28,-119.49,121.23,-36.13,-26.03,37.88,63.81,-63.38,76.3
3.20833,372.27,73.87,-14.46,-12.63,3.1,5.23,-5.67,-5.67,32.34,28.24,43.06,43.08,-112.47,139.78,-41.24,-18.28,62.53,82.59,-63.45,62.24
3.21667,355.68,64.28,-15.52,-13.64,2.28,2.9,-5.75,-5.75,31.51,25.17,43.09,41.01,-104.55,164.98,-46.76,-11.98,83.49,99.12,-63.15,49.28
3.225,339.09,55.69,-15.72,-15.07,2.47,2.33,-4.89,-4.89,28.78,20.82,40.25,37.51,-95.65,197.87,-50.72,-8.28,101.81,112.07,-62.46,36.45
3.23333,322.5,48.1,-15.09,-15.64,1.68,2.27,-4.08,-4.08,26.13,17.11,36.52,33.13,-84.69,236.49,-52.16,-6.62,115.51,120.09,-60.38,22.74
3.24167,305.91,41.52,-15.6,-15.35,0.89,1.48,-4.31,-4.31,21.57,12.46,31.92,27.86,-73.55,274.06,-51.1,-6.54,122.6,123.95,-56.89,11.05
3.25,289.32,33.94,-17.27,-15.39,0.12,0.7,-5.58,-5.58,18.09,7.33,26.42,22.43,-60.13,309.8,-48.53,-8.84,125.1,124.62,-51.95,-1.27
3.25833,271.73,26.38,-17.11,-16.58,-1.66,-0.31,-4.91,-4.91,13.68,3.27,21.02,17.09,-44.29,338.95,-44.43,-12.05,124.01,122.11,-46.52,-12.12
3.26667,254.14,19.86,-16.11,-17.18,-1.45,-1.61,-4.28,-4.28,8.33,0.24,15.72,11.84,-29.89,358,-39.76,-16.94,118.32,116.2,-40.53,-20.63
3.275,238.55,13.42,-16.28,-16.52,-2.25,-1.64,-4.7,-4.7,4.04,-1.77,10.5,6.67,-14.79,366.2,-36.5,-23.42,109.05,107.94,-33.94,-27.87
3.28333,222.96,7.15,-16.61,-16.21,-1.06,-1.97,-4.16,-4.16,0.79,-3.04,5.36,2.29,-1.84,361.6,-33.6,-30.32,100.18,99.97,-23.67,-34.23
3.29167,206.37,4.2,-17.1,-16.48,0.11,-0.79,-4.67,-4.67,-1.46,-4.34,1.26,-0.3,11.07,344.55,-31.04,-36.01,90.7,91.48,-13.63,-39.97
3.3,189.78,0.76,-17.77,-16.91,0.29,0.15,-3.21,-3.21,-2.71,-5.68,-0.82,-2.39,24.07,316.24,-30.81,-40.35,83.6,84.92,-2.71,-45.36
3.30833,175.19,1.82,-18.61,-17.51,0.46,0.33,-2.79,-2.79,-3.99,-6.8,-2.91,-4.51,35.26,278.59,-31.89,-44.92,76.87,78.83,8.17,-50.05
3.31667,160.59,1.57,-19.64,-18.28,0.64,0.5,-2.4,-2.4,-5.31,-7.25,-5.03,-5.9,48.68,235.16,-35.31,-48.77,70.5,73.02,18.11,-56.25
3.325,147,-1.16,-19.86,-19.24,0.82,0.68,-3.04,-3.04,-6.68,-7.77,-6.19,-7.11,61.35,190.27,-40.09,-51.22,64.47,67.48,29.2,-61.95
3.33333,134.41,-1.16,-20.27,-19.77,1.02,0.87,-2.7,-2.7,-7.11,-8.08,-7.4,-7.62,73.31,145.2,-46.29,-51.95,60.77,63,40.47,-67.17
3.34167,126.82,1.46,-20.89,-20.11,1.22,1.06,-2.39,-2.39,-7.61,-7.76,-7.69,-7.96,84.58,102.65,-54.96,-51.01,57.39,59.78,48.95,-70.65
3.35,116.23,-1,-21.71,-20.66,2.43,1.49,-2.1,-2.1,-8.18,-7.81,-8.05,-8.39,94.16,64.12,-63.17,-48.84,54.3,56.8,56.65,-71.13
3.35833,105.64,-4.89,-21.75,-21.4,2.66,2.48,-1.84,-1.84,-7.84,-8.02,-8.49,-8.89,103.07,30.83,-71.01,-45.58,53.5,54.23,62.61,-69.99
3.36667,95.05,-13.45,-22,-21.74,2.89,2.71,-2.59,-2.59,-7.56,-7.24,-9.02,-10.26,110.33,0.12,-79.56,-41.8,52.98,53.52,68.84,-68.82
3.375,83.46,-32.31,-20.46,-21.91,2.14,2.73,-2.37,-2.37,-8.37,-6.89,-10.63,-10.42,113.95,-28.11,-87.9,-38.44,51.71,53.04,74.36,-67.58
3.38333,73.87,421.02,-20.13,-21.03,2.39,2.19,-1.17,-1.17,-7.25,-5.93,-10.35,-10.21,114.92,-52.71,-97.1,-35.78,48.68,51.99,78.17,-65.95
3.39167,64.28,380.17,-21,-20.25,2.66,2.45,0.02,0.02,-7.2,-5.03,-10.16,-9.32,113.26,-72.87,-105.26,-33.37,45.89,49.68,81.3,-64.95
3.4,55.69,341.71,-22.08,-20.68,1.94,2.51,0.21,0.21,-6.23,-4.85,-9.08,-8.3,108.95,-89.61,-111.44,-31.22,42.32,47.1,82.76,-63.79
3.40833,48.1,307.73,-22.38,-21.69,1.23,1.8,-0.61,-0.61,-5.31,-5.73,-8.08,-8.14,101.99,-102.58,-115.71,-30.86,38.95,44.24,83.56,-63.41
3.41667,41.52,275.94,-21.9,-22.28,0.54,1.09,-1.43,-1.43,-4.45,-5.64,-8.16,-7.51,93.38,-113.82,-118.1,-31.48,32.76,41.11,82.72,-63.29
3.425,33.94,246.33,-22.64,-22.07,0.85,0.6,-1.27,-1.27,-5.64,-4.96,-7.32,-6.73,84.09,-123.44,-115.61,-33.46,27.75,37.38,82.23,-62.71
3.43333,26.38,220.05,-23.6,-22.38,2.17,1.11,-1.11,-1.11,-5.89,-5.04,-6.56,-6.8,73.11,-129,-109.23,-36.75,21.9,32.01,81.11,-60.88
3.44167,19.86,196.89,-23.8,-23.27,2.51,2.24,-0.97,-0.97,-5.19,-5.74,-6.86,-6.37,62.43,-132.13,-96.88,-40.98,15.19,27.49,81.37,-57.31
3.45,13.42,175.83,-23.22,-23.73,3.86,2.77,-0.83,-0.83,-4.54,-4.84,-6.23,-5.79,53.02,-132.83,-78.43,-46.2,7.59,22.24,82.01,-51.95
3.45833,7.15,156.3,-23.88,-23.42,4.23,3.93,0.3,0.3,-5.94,-3.72,-5.66,-6.05,41.86,-131.34,-54.71,-53.46,0.05,16.28,84.04,-45.8
3.46667,4.2,138.14,-23.78,-23.66,5.61,4.49,-0.57,-0.57,-5.39,-2.51,-6.16,-5.8,31.93,-126.95,-26.49,-60.46,-7.5,9.61,88.47,-38.95
3.475,0.76,121.97,-23.9,-23.81,6.01,5.68,-0.45,-0.45,-3.89,-1.23,-5.71,-5.39,23.21,-119.44,9.52,-67.19,-14.11,2.84,93.3,-30.24
3.48333,1.82,109.08,-23.27,-23.86,5.43,5.9,1.67,1.67,-3.43,-1.84,-5.31,-5.04,15.66,-111.87,52.63,-74.04,-20.87,-3.92,98.53,-18.85
3.49167,1.57,97.62,-22.86,-23.48,4.87,5.32,1.8,1.8,-1.01,-2.46,-4.97,-4.74,8.26,-103.28,100.18,-81.2,-27.83,-10.29,104.17,-7.08
3.5,-1.16,85.46,-23.69,-23,6.32,5.14,2.94,2.94,-1.6,-2.29,-4.68,-4.48,1.94,-93.34,149.41,-88.25,-34.06,-16.26,110.21,5.12
3.50833,-1.16,74.93,-23.75,-23.42,5.8,6.23,3.08,3.08,-2.21,-1.36,-4.43,-3.46,-3.36,-81.59,198.46,-96,-39.62,-22.36,114.67,16.52
3.51667,1.46,66.04,-25.04,-23.73,5.29,5.71,2.23,2.23,-2.84,-1.03,-3.22,-2.28,-8.7,-68.92,246.44,-103,-43.56,-28.51,115.53,28.76
3.525,-1,59.44,-24.58,-24.63,4.8,5.2,2.39,2.39,-1.49,-1.14,-2.05,-1.92,-14.11,-53.59,295.43,-108.76,-46.92,-34.09,112.79,41.15
3.53333,-4.89,51.9,-23.36,-24.73,4.33,4.72,1.56,1.56,-1.16,-1.85,-1.9,-1.79,-16.65,-37.38,339.53,-113.18,-48.74,-39.07,107.44,50.49
3.54167,-13.45,43.8,-22.36,-23.74,3.87,4.25,1.74,1.74,-0.85,-2.14,-1.76,-1.67,-19.34,-21.62,376.78,-116.31,-50.03,-42.76,99.46,58.56
3.55,-32.31,35.88,-21.59,-22.67,3.44,3.8,1.94,1.94,-1.54,-1.88,-1.65,-1.58,-21.23,-6.83,406.26,-117.87,-49.81,-45.89,89.85,65.35
3.55833,421.02,29.45,-21.04,-21.83,3.01,3.36,2.14,2.14,-2.26,-2.08,-1.56,-1.49,-24.33,6.97,426.01,-115.78,-49.07,-48,79.57,71.93
3.56667,377.24,24.5,-21.7,-21.21,2.6,2.94,2.35,2.35,-1.99,-1.96,-1.48,-1.42,-26.66,20.82,435.05,-110.66,-46.8,-49.37,66.62,76.95
3.575,336.23,19.23,-20.57,-21.5,2.2,2.53,2.58,2.58,-1.74,-1.66,-1.41,-1.37,-27.24,33.22,432.41,-101.59,-43.99,-49.95,53.96,80.68
3.58333,300.58,13.59,-20.64,-20.91,1.82,2.14,2.82,2.82,-2.51,-2.02,-1.36,-1.33,-27.09,47.13,419.08,-88.37,-40.6,-49.6,41.58,82.65
3.59167,266.94,8.93,-19.92,-20.62,1.44,1.76,3.07,3.07,-1.3,-1.39,-1.33,-2.13,-26.19,60.75,395.05,-71.23,-34.61,-48.67,29.44,83.53
3.6,235.98,4.96,-20.4,-20.13,1.08,1.38,2.34,2.34,-2.1,-0.7,-2.31,-2.31,-23.55,73.54,361.29,-50.6,-28.94,-46.6,18.52,82.64
3.60833,209.38,1.23,-20.08,-20.26,-0.28,0.86,1.61,1.61,-1.93,-1.03,-2.31,-2.32,-22.14,85.41,318.75,-26.82,-20.56,-44.08,8.77,81.92
3.61667,185.89,-1.74,-19.96,-20.17,0.36,-0.18,2.91,2.91,-0.77,-0.44,-2.33,-1.54,-19.95,95.54,271.37,3.41,-13.38,-41.07,4.1,81.22
3.625,164.26,-4.79,-21.04,-19.99,-1,0.15,3.21,3.21,-0.62,0.72,-1.37,-0.59,-17.95,104.69,220.08,38.52,-5.32,-36.06,-3.53,81.71
3.63333,144.28,-8.74,-21.32,-20.73,-2.37,-1.21,3.54,3.54,-1.48,1.35,-0.42,-0.47,-15.14,111.38,167.82,77.11,2.67,-30.9,-11.2,83.31
3.64167,125.74,-11.85,-20.81,-21.24,-1.76,-2.28,3.88,3.88,0.65,1.48,-0.48,-0.54,-13.47,114.29,116.49,117.76,9.66,-24.33,-19.98,87.41
3.65,111.48,-14.19,-19.5,-20.95,-1.16,-1.67,4.23,4.23,0.79,0.62,-0.55,-0.61,-12.96,114.21,67.94,159.19,15.7,-17.35,-28.96,92.72
3.65833,99.33,-14.99,-17.38,-19.86,-1.58,-1.22,3.6,3.6,1.92,-0.25,-0.62,0.15,-14.58,111.14,20.94,200.46,20.79,-10.62,-35.21,98.53
3.66667,86.18,-17.09,-15.44,-17.96,-1.01,-1.5,2.99,2.99,1.05,-1.13,0.31,1.08,-15.34,105.06,-22.87,240.87,24.96,-3.42,-38.79,104.89
3.675,74.9,-19.75,-15.65,-15.96,-1.45,-1.07,2.39,2.39,0.19,-1.48,1.23,1.17,-16.26,96.59,-62.89,282.02,26.21,3.61,-40.74,111.28
3.68333,65.37,-22,-14.01,-15.59,-1.91,-1.52,2.82,2.82,-0.67,-0.84,1.16,0.26,-17.33,86.93,-97.5,320.5,28.53,9.84,-44.1,114.98
3.69167,58.5,-24.08,-13.52,-14.44,-2.39,-1.98,4.26,4.26,-1.55,-0.26,0.09,0.03,-16.58,75.73,-124.02,354.83,28.94,15.25,-46.89,114.22
3.7,50.21,-25.92,-12.15,-13.65,-1.88,-2.32,3.72,3.72,-1.43,-0.16,0.02,-0.04,-14.98,64.25,-149.73,384.24,28.42,19.89,-49.15,109.58
3.70833,41.42,-27.1,-10.91,-12.51,-0.39,-1.68,4.2,4.2,-0.32,-0.61,-0.05,0.74,-16.55,53.99,-169.87,408.14,26.99,23.79,-51.89,101.7
3.71667,33.05,-27.97,-9.78,-11.23,-0.92,-0.46,5.7,5.7,-0.22,-0.97,0.88,0.83,-19.29,42.26,-185.65,424.77,23.63,25.73,-55.14,91.39
3.725,27.01,-29.08,-9.74,-10.06,-2.45,-1.12,6.22,6.22,-0.12,-0.89,0.82,0.76,-22.22,31.65,-194.2,433.06,19.35,27.39,-56.94,79.98
3.73333,22.25,-30.06,-8.8,-9.75,-2.01,-2.39,4.76,4.76,-1.02,-0.82,0.75,0.7,-23.37,22.46,-193.6,433.41,15.14,28.7,-59.31,65.61
3.74167,15.71,-29.43,-6.94,-9.03,-2.59,-2.08,3.32,3.32,-0.94,-0.18,0.69,0.65,-24.75,14.43,-188.86,426.22,13,28.78,-64.27,51.49
3.75,10.33,-26.73,-5.15,-7.4,-3.19,-2.66,2.91,2.91,-0.86,0.32,0.64,0.59,-28.38,6.78,-176.92,411.72,8.92,28.14,-67.87,37.7
3.75833,6.06,-26.02,-3.41,-5.58,-3.83,-3.27,3.51,3.51,-0.78,1.56,0.59,-0.31,-32.3,0.34,-159.67,390.03,5.9,26.67,-73.15,24.64
3.76667,1.85,-28.34,-0.7,-3.82,-3.5,-3.78,3.14,3.14,0.28,2.46,-0.47,-0.51,-35.53,-5.33,-132.92,361.59,1.91,23.66,-78.16,13.06
3.775,-1.33,-31.8,1.01,-1.33,-4.2,-3.58,4.79,4.79,0.35,1.95,-0.52,-0.57,-36.1,-11.06,-96.41,325.84,-2.06,19.84,-82.94,5.6
3.78333,-4.53,-34.02,3.72,0.61,-3.95,-4.17,6.46,6.46,2.42,1.63,-0.58,-0.63,-37.01,-15.39,-52.79,286.74,-6.06,16.06,-88.54,-2
3.79167,-8.77,-36.25,5.48,3.1,-3.73,-3.92,6.15,6.15,2.49,1.11,-0.64,-0.7,-34.26,-18.19,-3.66,244.81,-10.11,13.69,-94.02,-10.58
3.8,-12.1,-36.15,8.28,5.08,-3.55,-3.71,5.87,5.87,1.57,0.2,-0.71,0.1,-27.82,-20.55,52.44,201.26,-12.25,10.66,-99.43,-20.34
3.80833,-14.53,-31.69,12.17,7.65,-3.41,-3.53,5.61,5.61,1.66,-0.72,0.22,1.03,-17.63,-23.42,111.96,157.43,-12.51,7.5,-102.81,-29.96
3.81667,-15.11,-28.58,15.15,11.31,-4.3,-3.51,4.38,4.38,0.75,-1.64,1.15,1.09,-2.61,-26.13,171.22,114.32,-13.89,4.43,-107.21,-36.21
3.825,-17.84,-29.57,17.24,14.5,-4.23,-4.29,4.17,4.17,-0.16,-1.95,1.08,1.03,16.35,-27.15,230.41,73.43,-15.41,0.87,-108.65,-39.57
3.83333,-20.75,-32.65,18.45,16.79,-4.21,-4.23,3.99,3.99,-1.07,-1.25,1.02,1.85,41.31,-27.1,285.64,33.67,-17.07,-2.7,-109.14,-42.49
3.84167,-22.86,-35.91,19.8,18.19,-5.23,-4.32,4.83,4.83,-1.99,-0.2,1.97,1.06,71.28,-26.22,334,-4.09,-17.91,-6.28,-107.71,-45.89
3.85,-25.19,-37.74,22.3,19.52,-5.3,-5.24,5.69,5.69,-1.92,0.85,0.92,0.89,108.27,-23.49,373.55,-39.43,-17.91,-9.91,-103.31,-48.6
3.85833,-26.77,-38.53,24.96,21.78,-4.42,-5.21,5.58,5.58,-0.87,1.26,0.89,0.86,152.28,-21.9,403.35,-71.75,-18.1,-11.93,-96.9,-51.56
3.86667,-27.61,-39.66,26.79,24.41,-4.59,-4.44,6.49,6.49,0.18,0.65,0.86,0.84,208.62,-19.59,422.46,-100.1,-18.46,-12.44,-85.43,-55.14
3.875,-28.72,-41.01,30.82,26.42,-5.8,-4.7,5.43,5.43,1.22,0.37,0.83,1.7,265.63,-17.26,429.9,-122.44,-20.01,-13.39,-71.76,-57.22
3.88333,-30.12,-40.95,35.05,30.02,-6.07,-5.83,4.4,4.4,1.27,0.43,1.82,1.82,329.47,-14.62,427.69,-144.14,-20.76,-14.7,-53.77,-60.5
3.89167,-29.8,-41.27,40.52,34.23,-5.39,-6.01,4.39,4.39,0.33,0.5,1.82,0.93,398.65,-13.28,415.84,-162.32,-20.7,-16.12,-31.29,-65.57
3.9,-26.77,-41.94,46.23,39.47,-5.78,-5.43,4.4,4.4,0.39,0.58,0.82,-0.06,470.98,-13.68,395.33,-177.24,-20.85,-17.35,-6.09,-70.41
3.90833,-26.02,-42.19,51.2,45.15,-5.21,-5.72,3.44,3.44,0.46,-0.03,-0.17,-0.16,547.36,-14.97,369.14,-188.29,-20.2,-17.91,21.05,-76.16
3.91667,-28.54,-42.65,55.47,50.28,-4.7,-5.17,4.51,4.51,0.53,-0.27,-0.16,-1.04,626.76,-15.88,340.24,-194.11,-18.75,-17.94,50.34,-81.6
3.925,-32.35,-42.82,61.04,54.68,-5.23,-4.74,3.6,3.6,0.6,-0.19,-1.15,-1.15,710.17,-16.96,307.56,-193.6,-18.49,-18.1,78.96,-87.65
3.93333,-34.47,-41.89,65.94,60.03,-4.82,-5.2,5.72,5.72,-0.32,-0.12,-1.15,-2.06,797.59,-16.79,272.07,-189.63,-17.41,-18.43,108,-93.8
3.94167,-36.93,-40.11,71.19,65.07,-4.45,-4.79,6.87,6.87,-0.25,-0.05,-2.17,-1.3,887.01,-15.32,235.68,-180.76,-17.5,-19.71,132.53,-99.7
3.95,-35.73,-38.71,76.81,70.27,-4.13,-4.43,7.04,7.04,-0.17,-0.69,-1.2,-1.23,980.43,-16.32,201.33,-167.94,-17.77,-20.54,153.59,-103.69
3.95833,-28.87,-37.75,81.84,75.85,-3.85,-4.11,6.25,6.25,-0.1,-0.91,-1.24,-1.29,1076.85,-19.07,168.96,-149.96,-17.22,-20.72,170.23,-107.67
