"file","cor_before","cor_after","apex_before","apex_after","dev_before","dev_after"
"std-0.txt",-0.0286591616658027,-0.0291257078694996,NA,NA,NA,NA
"std-25.txt",0.998675283521045,0.998929454575769,4.65833,4.66667,0,0.00833999999999957
"std-50.txt",0.996840500189843,0.99994183809417,4.65,4.65833,-0.00832999999999995,0
"std-100.txt",1,1,4.65833,4.65833,0,0
"std-150.txt",0.973586759472013,0.999503748296982,4.68333,4.65833,0.0249999999999995,0
"std-200.txt",0.992467990541976,0.99926600505423,4.675,4.66667,0.0166699999999995,0.00833999999999957
"sample-1.txt",0.149086078900112,0.888682590940263,4.45,4.68333,-0.20833,0.0249999999999995
"sample-2.txt",0.10086140280279,0.886529400593128,4.43333,4.675,-0.225000000000001,0.0166699999999995
"sample-3.txt",0.696124738355342,0.870372980841862,4.6,4.69167,-0.0583300000000007,0.0333399999999999
"sample-4.txt",0.649598911590779,0.883001194280995,4.58333,4.68333,-0.0750000000000002,0.0249999999999995
