file,conc,rt,area,area_recalc,area_fit,residual,residual_pct,back_calc_conc,recovery_pct
std-0.txt,0.0000,,0.0000,0.0000,-111613.0632,111613.0632,,2.3064,
std-25.txt,25.0000,4.6530,1080560.0000,975907.4997,1098222.5263,-17662.5263,-1.6346,24.6350,98.5401
std-50.txt,50.0000,4.6490,2265237.0000,2249739.9995,2308058.1158,-42821.1158,-1.8904,49.1151,98.2303
std-100.txt,100.0000,4.6560,4586430.0000,4586402.5008,4727729.2947,-141299.2947,-3.0808,97.0802,97.0802
std-150.txt,150.0000,4.6790,7173829.0000,7173758.2491,7147400.4737,26428.5263,0.3684,150.5461,100.3641
std-200.txt,200.0000,4.6680,9630813.0000,9630791.0000,9567071.6526,63741.3474,0.6618,201.3171,100.6586
